backend,model,question,sql,status,latency_ms,soft_score
huggingface,openai/gpt-oss-120b:nebius,Find the average price of products in Furniture,SELECT AVG(p.price) FROM products p WHERE p.category = 'Furniture',answered,1055.23,1.0
huggingface,openai/gpt-oss-120b:nebius,Show all orders along with customer names,"SELECT o.id, o.customer_id, o.product_id, o.order_date, o.total, c.name FROM orders o JOIN customers c ON c.id = o.customer_id",answered,1584.52,1.0
huggingface,openai/gpt-oss-120b:nebius,List the total sales revenue for Electronics products,SELECT SUM(o.total) AS total_sales FROM orders o JOIN products p ON p.id = o.product_id WHERE p.category = 'Electronics',answered,1491.98,1.0
huggingface,openai/gpt-oss-120b:nebius,How many unique customers placed orders in 2024?,SELECT COUNT(DISTINCT c.id) FROM customers c JOIN orders o ON c.id = o.customer_id WHERE o.order_date >= '2024-01-01' AND o.order_date < '2025-01-01',answered,1559.94,1.0
huggingface,openai/gpt-oss-120b:nebius,Get the product with the highest price,SELECT p.* FROM products p ORDER BY p.price DESC LIMIT 1,answered,1340.71,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,List all products in the Electronics category,SELECT p.name FROM products p WHERE p.category = 'Electronics',answered,979.8,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,Show all customers from New York,SELECT c.* FROM customers c WHERE c.city = 'New York',answered,962.51,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,How many orders were placed in 2023?,"SELECT COUNT(*) FROM orders WHERE strftime('%Y', order_date) = '2023'",answered,891.49,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,Get the top 5 customers by total spend,"SELECT c.name, SUM(o.total) AS total_spend FROM customers c JOIN orders o ON c.id = o.customer_id GROUP BY c.id, c.name ORDER BY total_spend DESC LIMIT 5",answered,1031.55,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,Which products were most frequently ordered?,SELECT p.name FROM products p JOIN orders o ON p.id = o.product_id GROUP BY p.name ORDER BY COUNT(*) DESC LIMIT 1,answered,1116.82,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,Show revenue from sales in July 2023,SELECT SUM(o.total) FROM orders o WHERE o.order_date >= '2023-07-01' AND o.order_date < '2023-08-01',answered,953.49,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,Which city has the most customers?,SELECT city FROM customers GROUP BY city ORDER BY COUNT(*) DESC LIMIT 1,answered,805.59,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,List all orders in September 2024,SELECT o.* FROM orders o WHERE o.order_date >= '2024-09-01' AND o.order_date < '2024-10-01',answered,993.68,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,Find the average price of products in Furniture,SELECT AVG(p.price) FROM products p WHERE p.category = 'Furniture',answered,713.09,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,Show all orders along with customer names,"SELECT o.*, c.name AS customer_name FROM orders o JOIN customers c ON o.customer_id = c.id",answered,3799.58,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,List the total sales revenue for Electronics products,SELECT SUM(o.total) FROM orders o JOIN products p ON o.product_id = p.id WHERE p.category = 'Electronics',answered,950.52,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,How many unique customers placed orders in 2024?,"SELECT COUNT(DISTINCT c.id) FROM customers c JOIN orders o ON c.id = o.customer_id WHERE strftime('%Y', o.order_date) = '2024'",answered,815.02,1.0
huggingface,Qwen/Qwen3-Next-80B-A3B-Instruct:novita,Get the product with the highest price,SELECT p.name FROM products p ORDER BY p.price DESC LIMIT 1,answered,918.85,1.0
ollama,mistral:latest,List all products in the Electronics category,SELECT p.name FROM products AS p JOIN orders AS o ON p.id = o.product_id JOIN customers AS c ON o.customer_id = c.id WHERE p.category = 'Electronics',answered,8628.86,1.0
ollama,mistral:latest,Show all customers from New York,"SELECT c.name, c.city FROM customers AS c JOIN orders AS o ON c.id = o.customer_id WHERE c.city = 'New York'",answered,6175.5,1.0
ollama,mistral:latest,How many orders were placed in 2023?,SELECT COUNT(*) FROM orders WHERE order_date LIKE '2023-%',answered,3320.49,1.0
ollama,mistral:latest,Get the top 5 customers by total spend,"SELECT c.name, SUM(o.total) as total_spend FROM customers AS c JOIN orders AS o ON c.id = o.customer_id GROUP BY c.id ORDER BY total_spend DESC LIMIT 5",answered,8355.76,1.0
ollama,mistral:latest,Which products were most frequently ordered?,"SELECT products.name, COUNT(orders.id) as order_count FROM customers JOIN orders ON customers.id = orders.customer_id JOIN products ON orders.product_id = products.id GROUP BY products.name ORDER BY order_count DESC",answered,11556.32,1.0
ollama,mistral:latest,Show revenue from sales in July 2023,SELECT SUM(orders.total) FROM orders JOIN customers ON customers.id = orders.customer_id WHERE orders.order_date LIKE '2023-07-%',answered,6176.88,1.0
ollama,mistral:latest,Which city has the most customers?,"SELECT city, COUNT(c.id) as num_customers FROM customers c JOIN orders o ON c.id = o.customer_id GROUP BY city ORDER BY num_customers DESC LIMIT 1",answered,6945.4,1.0
ollama,mistral:latest,List all orders in September 2024,"SELECT o.* FROM orders o JOIN customers c ON o.customer_id = c.id WHERE STRFTIME('%m', o.order_date) = '09' AND STRFTIME('%Y', o.order_date) = '2024'",answered,11431.36,1.0
ollama,mistral:latest,Find the average price of products in Furniture,SELECT AVG(p.price) FROM products p JOIN orders o ON p.id = o.product_id WHERE p.category = 'Furniture',answered,5220.03,1.0
ollama,mistral:latest,Show all orders along with customer names,"SELECT c.name, o.* FROM customers AS c JOIN orders AS o ON c.id = o.customer_id",answered,4542.65,1.0
ollama,mistral:latest,List the total sales revenue for Electronics products,SELECT SUM(orders.total) FROM orders JOIN products ON orders.product_id = products.id WHERE products.category = 'Electronics',answered,5578.0,1.0
ollama,mistral:latest,How many unique customers placed orders in 2024?,SELECT COUNT(DISTINCT c.id) FROM customers AS c JOIN orders AS o ON c.id = o.customer_id WHERE EXTRACT(YEAR FROM o.order_date) = 2024,answered,7244.44,1.0
ollama,mistral:latest,Get the product with the highest price,"SELECT products.name, MAX(products.price) FROM products GROUP BY products.name",answered,3300.82,1.0
